ID	Individual_ID	Individual_code	Locality	Species_name	Zone	SLA	LA	LDMC	Thickness
231	140217	M02-SYPR-02	M02	Symplocos species	M	16.99943547	736.5976667	306.4361506	0.233333331
232	140218	M02-SCOC-02	M02	Schefflera octophylla	M	9.900147252	2727.151667	384.3024793	0.282500001
233	140219	M02-MICO-03	M02	Michelia compressa	M	12.88459003	1265.721	335.392575	0.30083333
234	140220	M02-SYPR-03	M02	Symplocos species	M	13.9396908	426.5651667	343.9316532	0.24583333
235	140221	M02-NEKO-02	M02	Neolitsea konishii	M	12.41174141	2691.647	495.4615045	0.311666669
236	140222	M02-LIAC-03	M02	Litsea acuminata	M	15.03707422	3232.972667	409.0460728	0.233333329
237	140223	M02-ILFO-01	M02	Ilex formosana	M	15.40178488	1963.479	385.4494141	0.278333334
238	140224	M03-CIKA-01	M03	Cinnamomum kanehirae	M	10.91596947	2600.843333	400.2886643	0.264166671
239	140225	M03-SYGL-01	M03	Symplocos glauca	M	12.98303587	4957.364667	352.4740595	0.306666667
240	140226	M03-HEFO-02	M03	Helicia formosana	M	18.02790439	15117.962	268.3800323	0.244166664
241	140227	M03-FIER-01	M03	Ficus erecta v. beecheyana	M	30.22061831	5185.259333	293.0627315	0.204999997
242	140228	M03-BLCO-04	M03	Blastus cochinchinensis	M	36.11039979	4706.485	258.114813	0.144999999
243	140229	M03-PYSH-01	M03	Pyrenaria shinkoensis	M	9.34409528	2556.534667	368.8399967	0.360833339
245	140231	M03-OSMA-02	M03	Osmanthus matsumuranus	M	11.47984149	4611.365333	424.3485454	0.275
246	140232	M03-ILFI-02	M03	Ilex ficoidea	M	11.17438498	2330.806333	397.5877252	0.295000002
247	140233	M03-ENRO-01	M03	Engelhardia roxburghiana	M	16.27814242	3137.093333	418.167355	0.228333332
248	140234	M03-ENRO-02	M03	Engelhardia roxburghiana	M	15.42219074	4283.502333	423.1356165	0.222499999
249	140235	M03-GLAC-02	M03	Glochidion acuminatum	M	16.95474074	2387.712	376.116611	0.211666665
250	140236	M03-GLAC-03	M03	Glochidion acuminatum	M	15.20500154	1749.34	409.216766	0.223333331
251	140237	M03-MESQ-01	M03	Meliosma squamulata	M	13.18854005	1729.589	373.4525123	0.297500002
252	140238	M03-SCOC-03	M03	Schefflera octophylla	M	15.25478176	4598.523667	286.6099174	0.262499999
253	140239	M03-BLCO-05	M03	Blastus cochinchinensis	M	36.92904645	3199.731667	236.8337916	0.17666667
254	140240	M03-ENRO-03	M03	Engelhardia roxburghiana	M	19.87706395	3332.553	327.1695895	0.20833333
255	140241	M03-ILFI-03	M03	Ilex ficoidea	M	23.32387756	654.036	272.4945559	0.209166667
256	140242	M03-HEFO-03	M03	Helicia formosana	M	13.17625043	12427.589	339.857576	0.274999999
257	140243	M03-SYTH-02	M03	Symplocos theophrastifolia	M	10.59669526	1881.486	331.0707698	0.348333339
258	140244	M03-LAFO-02	M03	Lasianthus fordii	M	19.28143468	2736.105667	303.2641666	0.402499999
259	140245	M03-CACU-01	M03	Castanopsis cuspidata v. carlesii	M	10.94221106	2424.552	427.3325864	0.292500002
