"Lat"	"NS"	"Long"	"EW"	"Elev"	"Precip"
"mishws"	3.78	"S"	73.5	"W"	140	3100
"murri"	6.58	"N"	76.83	"W"	910	4200
"nuevomun"	10.65	"S"	66.77	"W"	160	1820
"parqueer"	24.58	"S"	64.7	"W"	1000	1500
"perromue"	1.6	"S"	80.7	"W"	450	1550
"persever"	14.63	"S"	62.62	"W"	100	1350
"puyehue"	40.72	"S"	72.3	"W"	490	3000
"quiapaca"	18.33	"S"	59.5	"W"	300	900
"riachuel"	27	"S"	58	"W"	60	1000
"rioheath"	12.83	"S"	68.83	"W"	200	2200
"riomanso"	7.5	"N"	76.8	"W"	200	4000
"rionegro"	9.83	"S"	65.67	"W"	100	1820
"riopal1"	0.57	"S"	79.33	"W"	200	2650
"riopal2"	0.57	"S"	79.33	"W"	185	2650
"riotavar"	13.35	"S"	69.67	"W"	400	6760
"sabanaru"	10.5	"N"	72.92	"W"	2940	1500
"sacram"	16.3	"S"	67.8	"W"	2415	2450
"salta"	24.67	"S"	64.5	"W"	1350	712
"sansebas"	1.6	"S"	80.7	"W"	550	2000
"santacru"	17.77	"S"	63.7	"W"	375	1200
"santotom"	4.92	"N"	74.83	"W"	320	1500
"saul"	3.63	"N"	53.2	"W"	300	2358
"shiringa"	10.33	"S"	75.17	"W"	300	5000
"sietecue"	4.58	"N"	73.67	"W"	2350	3000
"tahuampa"	3.78	"S"	73.5	"W"	130	3100
"tamblat2"	12.78	"S"	69.28	"W"	250	2200
"tambo"	12.78	"S"	69.28	"W"	260	2200
"tamboall"	12.83	"S"	69.28	"W"	260	2200
"tambupl"	12.82	"S"	69.72	"W"	280	2200
"tarapoto"	6.58	"S"	76.42	"W"	445	1400
"tayrona"	11.33	"N"	74.3	"W"	50	1500
"tutunend"	5.77	"N"	76.58	"W"	90	9000
"ucumari"	4	"N"	75.5	"W"	2620	3000
"uchire"	10.15	"N"	65.43	"W"	150	1200
"vencer"	5.75	"S"	77.67	"W"	1850	1300
"yanaigua"	19.7	"S"	62.1	"W"	250	400
"yanam1"	3.43	"S"	72.85	"W"	140	3100
"yanam2"	3.43	"S"	72.85	"W"	140	3100
"yanamtah"	3.47	"S"	72.83	"W"	125	3100
"bablersp"	38.53	"N"	90.67	"W"	150	930
"bankamp"	40.5	"N"	81.3	"W"	250	875
"burling"	38.95	"N"	77.17	"W"	60	1053
"cary"	46.83	"N"	73.75	"W"	210	1020
"cedarblu"	39.77	"N"	86.15	"W"	251	1000
"cuivre"	39.2	"N"	91	"W"	140	930
"heustobm"	39.55	"N"	84.72	"W"	200	1000
"heustomf"	39.55	"N"	84.72	"W"	200	1000
"indianca"	40.5	"N"	95.72	"W"	320	900
"jonesmil"	40.8	"N"	79.35	"W"	500	1100
"kanealle"	41.67	"N"	78.8	"W"	500	1000
"kitlope1"	53.7	"N"	127.83	"W"	20	2100
