Species	Wet.area.cm2	Dry.area.cm2
Compsoneura excelsa	111.3882	106.7373
Compsoneura excelsa	107.1527	102.0127
Synechanthus warscewiczianus	50.4577	41.6211
Synechanthus warscewiczianus	54.5846	45.79
Synechanthus warscewiczianus	54.3734	46.5178
Synechanthus warscewiczianus	59.9459	50.2001
Synechanthus warscewiczianus	55.2615	45.0079
Psychotria solitudinum	118.3671	99.4098
Psychotria solitudinum	103.595	86.4927
Compsoneura excelsa	102.9541	96.9345
Compsoneura excelsa	142.9193	136.697
Compsoneura excelsa	128.5177	120.9778
Compsoneura excelsa	209.0485	198.5496
Compsoneura excelsa	119.5907	112.9596
Richeria dressleri	47.7809	42.9168
Richeria dressleri	65.2922	57.5663
Richeria dressleri	44.8428	39.9312
Richeria dressleri	77.877	68.6614
Richeria dressleri	46.9831	42.7334
Mabea excelsa	73.7039	68.4648
Mabea excelsa	64.7801	59.9903
Mabea excelsa	84.2189	78.2792
Eugenia acapulcensis	26.9508	22.8026
Eugenia acapulcensis	18.8134	15.6993
Eugenia acapulcensis	24.7467	21.2184
Eugenia acapulcensis	30.591	26.2153
Eugenia acapulcensis	32.448	26.6139
Garcinia intermedia	82.8773	79.8441
Garcinia intermedia	70.3584	67.6935
Garcinia intermedia	73.4595	71.1948
Garcinia intermedia	105.7956	101.6057
Garcinia intermedia	103.9464	99.0752
Sorocea hispidula	50.899	42.034
Sorocea hispidula	19.8248	15.6459
Sorocea hispidula	14.1349	11.9299
Sorocea hispidula	39.1039	31.8356
Sorocea hispidula	15.6733	11.9666
Mabea excelsa	68.9154	64.8805
Mouriri cyphocarpa	70.3976	61.5362
Mouriri cyphocarpa	61.7922	54.046
Mouriri cyphocarpa	72.2335	64.8635
Mouriri cyphocarpa	79.511	67.3245
Tovomita longifolia	88.9949	78.6882
Tovomita longifolia	60.1832	55.4643
Tovomita longifolia	96.8762	86.3676
Tovomita longifolia	88.3105	79.9205
Protium glabrum	174.6247	166.6131
Protium glabrum	80.8156	78.5773
Protium glabrum	84.4005	78.0138
Saurauia yasicae	109.9872	83.94
Saurauia yasicae	53.0407	41.28
Saurauia yasicae	64.3106	47.9118
Saurauia yasicae	133.4321	101.2511
Saurauia yasicae	96.2344	69.3021
Virola guatemalensis	126.1668	116.1527
Virola guatemalensis	96.5929	90.0831
Virola guatemalensis	82.7304	76.4994
Virola guatemalensis	91.9323	85.8549
Virola guatemalensis	88.7762	82.257
Talauma gloriensis	223.7787	220.8322
Protium sp2	62.4646	58.2088
Protium sp2	62.4646	58.0173
Protium sp2	59.9227	55.5448
Protium sp2	48.0292	47.1373
Protium sp2	46.5072	45.656
Terminalia amazonia	43.8102	35.9918
Terminalia amazonia	100.1773	81.2279
Terminalia amazonia	85.7405	68.0926
Terminalia amazonia	128.7709	103.4346
Terminalia amazonia	127.5861	102.2294
Rinorea crenata	99.8012	56.8843
Rinorea crenata	118.4226	47.4325
Rinorea crenata	131.58	63.0794
Rinorea crenata	82.8153	70.0853
Rinorea crenata	90.0056	69.912
Synechanthus warscewiczianus	58.7371	51.7048
Synechanthus warscewiczianus	55.4359	49.2203
Synechanthus warscewiczianus	63.202	55.9845
Synechanthus warscewiczianus	70.284	61.9861
Synechanthus warscewiczianus	49.9414	44.3418
Rinorea crenata	45.3113	43.3006
Rinorea crenata	34.3017	32.6852
Rinorea crenata	28.6207	27.431
Rinorea crenata	58.973	54.8091
Rinorea crenata	39.2234	36.6484
Casearia arguta	122.3064	103.4747
Casearia arguta	71.5528	60.0182
Casearia arguta	53.7761	43.4895
Casearia arguta	74.4676	60.1177
Chrysophyllum sp2	14.4395	13.6244
Chrysophyllum sp2	14.0359	13.3843
Chrysophyllum sp2	15.4869	14.6648
Chrysophyllum sp2	14.4454	13.4155
Chrysophyllum sp2	14.7878	13.8269
Discophora guianensis	114.1206	107.7768
Discophora guianensis	99.2199	92.3333
Discophora guianensis	115.4482	108.47
Discophora guianensis	109.1994	103.1212
Discophora guianensis	107.1018	100.2366
Paullinia bracteosa	172.1301	147.9872
Paullinia bracteosa	77.4419	67.8514
Paullinia bracteosa	93.1659	83.2301
Paullinia bracteosa	103.8183	88.7438
Paullinia bracteosa	83.2904	70.7164
Paullinia bracteosa	74.1665	61.7904
Paullinia bracteosa	193.3304	156.2965
Paullinia bracteosa	191.9192	164.7655
Paullinia bracteosa	175.9388	142.2437
Tetrathylacium johansenii	26.585	25.4266
Tetrathylacium johansenii	57.3557	54.5157
Tetrathylacium johansenii	106.7507	99.9845
Tetrathylacium johansenii	69.0966	64.4969
Inga coruscans	44.955	42.7089
Inga coruscans	142.0414	135.7214
Inga coruscans	157.6924	149.2648
Inga coruscans	70.395	66.9726
Inga coruscans	155.8828	148.743
Minquartia guianensis	79.1082	73.9703
Minquartia guianensis	55.9496	52.4851
Minquartia guianensis	55.3384	52.5766
Minquartia guianensis	70.3117	66.2359
Minquartia guianensis	44.0061	41.7969
Rinorea squamata	40.5463	37.7469
Rinorea squamata	47.3902	44.7062
Rinorea squamata	28.1392	25.8536
Rinorea squamata	48.961	46.0201
Rinorea squamata	34.0238	31.842
Eugenia acapulcensis	31.4263	26.6455
Eugenia acapulcensis	40.0609	33.9358
Eugenia acapulcensis	23.0717	19.5053
Eugenia acapulcensis	26.6974	23.8082
Compsoneura excelsa	159.1671	148.9864
Compsoneura excelsa	83.6603	79.8867
Compsoneura excelsa	72.8115	69.4265
Compsoneura excelsa	107.3896	101.8673
Compsoneura excelsa	75.4183	71.6632
Eugenia acapulcensis	31.2307	25.5537
Eugenia acapulcensis	31.4203	25.2898
Eugenia acapulcensis	31.9733	25.7782
Eugenia acapulcensis	32.4893	26.6549
Eugenia acapulcensis	30.3742	25.4515
Rinorea crenata	58.0554	55.6106
Rinorea crenata	69.1789	65.9656
Rinorea crenata	61.3974	58.3484
Rinorea crenata	81.8079	77.8413
Rinorea crenata	80.3158	75.0606
Compsoneura excelsa	15.9415	14.4362
Compsoneura excelsa	32.6156	28.6504
Compsoneura excelsa	39.556	34.4167
Compsoneura excelsa	97.0758	92.4696
Compsoneura excelsa	70.4841	66.8568
Compsoneura excelsa	77.8247	73.9612
Compsoneura excelsa	76.6693	72.4405
Rinorea crenata	100.1974	93.9165
Rinorea crenata	91.7897	86.1195
Rinorea crenata	104.326	98.8106
Rinorea crenata	56.2186	52.3374
Rinorea crenata	35.1636	33.4834
Rinorea crenata	25.1956	23.8807
Rinorea crenata	44.2669	42.5072
Rinorea crenata	34.2745	32.7551
Rinorea crenata	46.5835	44.806
Rinorea crenata	48.7081	46.3559
Rinorea crenata	41.7365	39.3563
Rinorea crenata	40.5888	38.9193
Rinorea crenata	40.0125	37.534
Rinorea crenata	47.4649	45.5671
Rinorea crenata	37.0914	35.2546
Rinorea crenata	47.0442	44.8756
Rinorea crenata	48.6356	45.8258
Rinorea crenata	45.434	42.463
Rinorea crenata	49.9736	47.2443
Ocotea insularis	58.9347	55.5136
Ocotea insularis	60.3346	57.1547
Ocotea insularis	100.8632	96.3469
Ocotea insularis	48.6309	48.6148
Ocotea insularis	110.129	103.4976
Sloanea sp1	76.9259	71.5655
Sloanea sp1	103.4594	88.7591
Sloanea sp1	57.3524	53.1815
Sloanea sp1	64.5621	57.6637
Pseudolmedia glabrata	47.1598	43.9236
Pseudolmedia glabrata	41.4934	39.4347
Pseudolmedia glabrata	39.1442	35.9777
Pseudolmedia glabrata	58.8775	55.2932
Pseudolmedia glabrata	55.1645	52.4276
Rinorea crenata	45.6537	42.8593
Rinorea crenata	62.1161	57.848
Rinorea crenata	42.9426	39.9555
Rinorea crenata	48.2568	45.3335
Rinorea crenata	39.2472	36.8283
Clarisia biflora	142.8338	134.3285
Clarisia biflora	85.1515	80.0224
Clarisia biflora	102.9984	97.2707
Clarisia biflora	80.3142	75.9991
Clarisia biflora	61.776	58.8164
Swartzia ochnacea	123.21	114.2062
Swartzia ochnacea	88.0843	81.3994
Lunania mexicana	41.7765	37.4454
Lunania mexicana	44.8399	39.7618
Lunania mexicana	29.9764	26.6263
Lunania mexicana	42.2337	37.6249
Lunania mexicana	31.191	28.1273
Pseudolmedia glabrata	60.307	50.1127
Pseudolmedia glabrata	162.298	131.5245
Pseudolmedia glabrata	67.7994	55.5952
Rinorea crenata	111.0873	106.5121
Rinorea crenata	138.0736	132.2501
Rinorea crenata	100.0199	96.7221
Gymnanthes riparia	66.7363	61.1939
Gymnanthes riparia	119.8902	107.3433
Gymnanthes riparia	116.4947	104.6318
Gymnanthes riparia	90.1637	81.7422
Tetrathylacium johansenii	42.9713	40.5232
Tetrathylacium johansenii	58.3889	54.0734
Tetrathylacium johansenii	48.7418	46.5058
Tetrathylacium johansenii	64.403	59.506
Neea sp1	43.6823	35.688
Neea sp1	53.9234	45.8916
Stephanopodium costaricense	63.5324	56.4104
Stephanopodium costaricense	67.4829	58.6261
Stephanopodium costaricense	106.7832	93.1354
Stephanopodium costaricense	79.8084	69.3933
Rinorea squamata	45.1662	41.9309
Rinorea squamata	43.0965	40.1619
Rinorea squamata	49.2636	46.2657
Rinorea squamata	37.9231	35.944
Rinorea squamata	26.1225	25.0999
Nectandra umbrosa	50.4056	48.1752
Nectandra umbrosa	51.1723	49.0861
Nectandra umbrosa	55.6869	53.3015
Nectandra umbrosa	61.9703	59.279
Nectandra umbrosa	58.3271	56.0113
Capparis frondosa	59.7953	54.6034
Capparis frondosa	53.0833	48.7898
Capparis frondosa	151.3786	64.5314
Capparis frondosa	62.9331	57.6101
Chionanthus panamensis	29.324	26.4256
Chionanthus panamensis	48.2642	42.4183
Chionanthus panamensis	53.9905	47.2573
Chionanthus panamensis	40.3127	35.782
Chionanthus panamensis	46.6507	40.5558
Swartzia ochnacea	99.8673	90.7638
Swartzia ochnacea	97.5862	91.0341
Swartzia ochnacea	134.8113	122.4585
Pseudolmedia glabrata	45.0385	40.7773
Pseudolmedia glabrata	70.1581	58.5288
Pseudolmedia glabrata	42.473	40.9477
Pseudolmedia glabrata	41.4203	40.3511
Pseudolmedia glabrata	61.6513	51.1644
Pseudolmedia glabrata	47.5807	44.8322
Pseudolmedia glabrata	82.6655	69.9375
Pseudolmedia glabrata	49.9087	47.7456
Pseudolmedia glabrata	99.9016	94.3532
Ardisia dunlapiana	51.1626	43.0988
Ardisia dunlapiana	63.1851	52.0542
Gymnanthes riparia	50.5867	47.6385
Gymnanthes riparia	68.5523	64.565
Gymnanthes riparia	74.8997	70.3879
Gymnanthes riparia	53.9725	50.9775
Gymnanthes riparia	59.2298	56.0792
Chionanthus panamensis	93.7137	64.4207
Chionanthus panamensis	75.8634	60.1982
Chionanthus panamensis	90.317	73.9176
Chionanthus panamensis	72.5509	60.4738
Chionanthus panamensis	96.9316	76.0103
Chione venosa	44.0094	37.938
Chione venosa	49.7521	43.5378
Chione venosa	60.4731	53.0153
Chione venosa	54.1182	46.3061
Chione venosa	41.7376	36.743
Chione venosa	39.1234	34.3849
Chione venosa	42.8675	31.6556
Chione venosa	42.8675	39.0161
Chione venosa	32.3936	28.8185
Chione venosa	38.6762	33.7664
Saurauia yasicae	107.8469	92.0217
Saurauia yasicae	51.8689	44.3869
Saurauia yasicae	125.9438	107.3662
Saurauia yasicae	96.6578	80.8106
Saurauia yasicae	63.0435	52.925
Pouteria subrotata	42.6658	37.9371
Pouteria subrotata	118.137	100.0485
Pouteria subrotata	89.5423	78.6798
Pouteria subrotata	70.8148	62.7247
Pouteria subrotata	38.9434	35.4191
Cordia sp1	38.1024	33.8543
Cordia sp1	79.2124	68.0231
Cordia sp1	57.9585	52.1479
Cordia sp1	56.9341	51.9474
Psychotria elata	72.3857	58.8473
Psychotria elata	109.7464	85.9855
Psychotria elata	77.5399	60.8037
Psychotria elata	53.7029	41.5446
Psychotria elata	79.6942	62.7858
Myrcia sp2	43.9712	40.2384
Myrcia sp2	54.3633	50.2464
Myrcia sp2	47.2487	42.6979
Myrcia sp2	53.1325	48.8937
Myrcia sp2	61.3178	55.4283
Faramea sp1	80.2986	73.5006
Faramea sp1	84.2408	73.0349
Faramea sp1	79.5721	70.6427
Faramea sp1	89.0919	78.352
Chrysophyllum sp1	43.3444	40.5175
Chrysophyllum sp1	58.098	54.4114
Chrysophyllum sp1	64.7063	59.2304
Chrysophyllum sp1	56.5174	52.3275
Chrysophyllum sp1	63.0176	59.6005
Lacmellea zamorae	21.0339	18.6149
Lacmellea zamorae	22.3775	19.773
Lacmellea zamorae	16.897	14.9319
Lacmellea zamorae	26.9126	23.8768
Lacmellea zamorae	16.6109	14.7613
Lacmellea zamorae	16.228	14.537
Lacmellea zamorae	17.1636	15.4684
Lacmellea zamorae	26.5309	23.9888
Lacmellea zamorae	17.5068	15.5998
Croton megistocarpus	128.2866	89.3235
Croton megistocarpus	116.7583	85.957
Croton megistocarpus	99.0445	75.3619
Croton megistocarpus	63.1498	48.7939
Croton megistocarpus	72.7636	53.246
Matayba apetala	44.9973	39.5758
Matayba apetala	20.531	18.4597
Matayba apetala	24.2135	21.6804
Matayba apetala	51.284	45.6206
Matayba apetala	47.4226	42.4472
Chrysophyllum sp2	65.5528	60.294
Chrysophyllum sp2	82.485	74.8638
Chrysophyllum sp2	71.7685	67.251
Chrysophyllum sp2	81.021	74.4709
Chrysophyllum sp2	67.6848	62.0144
Lacmellea zamorae	31.9581	28.1899
Lacmellea zamorae	32.1644	28.3999
Lacmellea zamorae	26.3895	23.6322
Lacmellea zamorae	26.4283	23.5645
Lacmellea zamorae	24.1984	21.2937
Lacmellea zamorae	12.7929	11.476
Lacmellea zamorae	7.4474	6.4319
Lacmellea zamorae	13.9556	12.3421
Lacmellea zamorae	6.2735	5.6402
Protium sp1	36.6844	31.8312
Protium sp1	34.432	28.6114
Protium sp1	27.2989	23.9399
Protium sp1	29.8523	25.2496
Protium sp1	34.0305	28.8764
Meliosma grandiflora	41.2652	37.0951
Meliosma grandiflora	51.621	46.3294
Meliosma grandiflora	54.6364	48.1545
Meliosma grandiflora	59.6502	52.9124
Meliosma grandiflora	38.8377	34.6542
Guatteria diospyroides	93.2259	82.7927
Guatteria diospyroides	90.3114	80.8241
Guatteria diospyroides	102.1635	91.4817
Guatteria diospyroides	99.0067	88.0739
Ardisia dunlapiana	40.8145	34.7075
Ardisia dunlapiana	47.5469	41.5822
Ardisia dunlapiana	46.0445	38.8102
Ardisia dunlapiana	33.5549	29.3886
Discophora guianensis	47.5202	29.1749
Discophora guianensis	38.873	36.0092
Discophora guianensis	25.625	23.258
Discophora guianensis	42.2079	38.1939
Discophora guianensis	47.6802	42.5414
Richeria dressleri	52.4868	42.2025
Richeria dressleri	64.015	51.6123
Richeria dressleri	101.6342	84.0207
Richeria dressleri	88.9286	71.5012
Richeria dressleri	58.4798	47.1231
Ardisia dunlapiana	47.4833	41.0001
Ardisia dunlapiana	40.532	35.8792
Ardisia dunlapiana	48.3305	41.3504
Ardisia dunlapiana	47.2046	40.5518
Psychotria elata	35.8289	29.4688
Perrottetia sessiliflora	34.0634	27.6736
Perrottetia sessiliflora	54.7835	43.0958
Perrottetia sessiliflora	26.2809	20.1274
Perrottetia sessiliflora	53.2483	41.9284
Perrottetia sessiliflora	131.8156	105.0217
Cordia croatii	44.8927	38.1565
Cordia croatii	44.7365	38.6348
Cordia croatii	43.0419	37.1616
Cordia croatii	39.4127	33.9906
Coussarea caroliana	43.4389	36.2953
Coussarea caroliana	45.333	37.9364
Coussarea caroliana	87.1308	67.9833
Hedyosmum goudotianum	81.1002	62.8127
Hedyosmum goudotianum	92.2567	68.9556
Hedyosmum goudotianum	74.6744	58.1855
Hedyosmum goudotianum	75.8425	58.366
Hedyosmum goudotianum	86.189	67.4056
Vochysia allenii	97.3133	80.8806
Vochysia allenii	78.5562	65.2199
Vochysia allenii	97.5926	81.3456
Vochysia allenii	128.8301	109.9808
Richeria dressleri	43.3781	40.9109
Richeria dressleri	47.8385	43.8671
Richeria dressleri	44.5581	41.1691
Richeria dressleri	45.0849	41.1156
Ocotea praetermissa	33.1809	29.365
Ocotea praetermissa	17.1157	15.0749
Ocotea praetermissa	26.6592	23.8854
Ocotea praetermissa	20.902	18.6617
Ocotea praetermissa	40.4524	35.7211
Ocotea praetermissa	24.2143	21.8615
Ocotea praetermissa	26.3801	23.9231
Ocotea praetermissa	24.5595	22.2595
Ocotea praetermissa	43.273	36.748
Lacmellea zamorae	22.5293	19.659
Lacmellea zamorae	13.8922	12.3184
Lacmellea zamorae	18.7999	16.7111
Lacmellea zamorae	20.795	18.181
Lacmellea zamorae	20.6563	18.6249
Lacmellea zamorae	17.3603	15.8064
Lacmellea zamorae	15.107	13.8805
Lacmellea zamorae	17.3737	15.6304
Lacmellea zamorae	29.7567	26.2384
Lacmellea zamorae	22.3085	20.219
Virola macrocarpa	121.4014	103.9052
Virola macrocarpa	57.4441	49.7955
Virola macrocarpa	108.4307	93.5414
Virola macrocarpa	98.6364	85.143
Virola macrocarpa	87.7298	77.6376
Lacmellea zamorae	13.7624	12.1611
Lacmellea zamorae	13.7477	11.3849
Lacmellea zamorae	18.9637	17.294
Lacmellea zamorae	14.1324	11.1835
Lacmellea zamorae	13.0548	10.8373
Strychnos chlorantha	85.3793	76.3441
Strychnos chlorantha	75.9921	67.5655
Strychnos chlorantha	50.0308	44.8244
Strychnos chlorantha	73.3009	64.2556
Strychnos chlorantha	60.8473	54.784
Coussarea loftonii	84.6814	67.3042
Coussarea loftonii	107.3084	87.8199
Coussarea loftonii	72.7619	59.4193
Coussarea loftonii	80.291	68.4371
Coussarea loftonii	63.0498	50.9982
Conostegia bracteata	32.3117	23.6524
Conostegia bracteata	49.252	36.3167
Conostegia bracteata	43.4775	31.5265
Conostegia bracteata	80.3315	59.1713
Conostegia bracteata	43.9394	31.0076
Conostegia bracteata	65.8439	48.2074
Conostegia bracteata	58.5179	40.0414
Conostegia bracteata	60.4445	59.9773
Conostegia bracteata	62.8741	44.3548
Casearia arborea	12.6091	11.6996
Casearia arborea	12.2689	11.1854
Casearia arborea	13.6499	12.5884
Casearia arborea	12.3649	11.3743
Casearia arborea	14.524	13.4897
Sloanea longipes	25.5691	23.6407
Sloanea longipes	44.1651	40.9657
Sloanea longipes	21.8507	20.6924
Sloanea longipes	18.3766	16.8883
Sloanea longipes	38.7201	35.4991
Entada gigas	6.0029	4.9292
Entada gigas	10.4062	8.7978
Entada gigas	8.1087	6.7465
Entada gigas	9.8742	8.1038
Entada gigas	8.1738	6.7549
Protium sp3	30.3474	27.3018
Protium sp3	34.1581	28.7118
Protium sp3	30.1278	25.5093
Protium sp3	33.2254	28.5546
Henriettea tuberculosa	31.9477	19.5297
Henriettea tuberculosa	41.8955	28.5692
Henriettea tuberculosa	35.0095	24.0234
Henriettea tuberculosa	47.4694	34.8036
Henriettea tuberculosa	30.4901	21.8561
Croton megistocarpus	60.3562	45.1536
Croton megistocarpus	53.2654	40.7624
Croton megistocarpus	41.8905	31.8057
Croton megistocarpus	25.9703	19.5078
Henriettea tuberculosa	52.5451	41.5869
Henriettea tuberculosa	56.4887	44.7509
Henriettea tuberculosa	48.9463	38.2003
Henriettea tuberculosa	68.3882	49.4343
Henriettea tuberculosa	55.4845	43.2973
Bauhinia guianensis	34.6681	30.212
Bauhinia guianensis	62.4294	56.7563
Bauhinia guianensis	34.7923	30.606
Bauhinia guianensis	86.495	79.6442
Henriettea tuberculosa	21.4215	15.2761
Henriettea tuberculosa	44.7191	33.7941
Henriettea tuberculosa	26.1031	19.258
Henriettea tuberculosa	29.3909	21.3234
Henriettea tuberculosa	34.5372	27.4977
Helicostylis tovarensis	28.3075	24.642
Helicostylis tovarensis	27.2432	22.5323
Helicostylis tovarensis	34.8346	30.2052
Helicostylis tovarensis	29.0222	25.1959
Helicostylis tovarensis	44.0935	38.7061
Virola macrocarpa	40.8963	35.4205
Virola macrocarpa	64.7908	55.6316
Virola macrocarpa	59.3063	50.4283
Virola macrocarpa	46.2541	39.2621
Virola macrocarpa	106.3328	93.5131
Sloanea brenesii	17.8078	15.443
Sloanea brenesii	16.239	14.6291
Sloanea brenesii	17.6721	15.4984
Sloanea brenesii	31.9088	28.0303
Sloanea brenesii	29.4715	25.7757
Pseudolmedia mollis	91.8716	80.2158
Pseudolmedia mollis	100.8951	88.7848
Pseudolmedia mollis	68.8765	60.5489
Pseudolmedia mollis	66.7677	58.1268
Pseudolmedia mollis	105.4515	89.8625
Protium sp4	56.4739	47.5015
Protium sp4	55.694	46.495
Protium sp4	45.0649	38.8571
Protium sp4	60.9196	47.8013
Protium sp4	44.6547	36.4727
Vochysia allenii	48.7378	35.8113
Vochysia allenii	89.4016	63.2329
Vochysia allenii	48.5066	33.7128
Vochysia allenii	37.4429	27.5698
Vochysia allenii	66.3083	48.7208
Ocotea meziana	44.0044	40.1096
Ocotea meziana	40.4007	37.6307
Ocotea meziana	24.7818	22.6811
Ocotea meziana	47.0589	42.9398
Ocotea meziana	44.409	40.7846
Brosimum guianense	49.0575	45.1608
Brosimum guianense	36.6131	33.9534
Brosimum guianense	55.0217	51.0522
Brosimum guianense	61.4346	57.1129
Brosimum guianense	74.4482	54.7742
Ocotea meziana	29.2167	26.9741
Ocotea meziana	18.8436	17.1623
Ocotea meziana	41.6147	38.1322
Ocotea meziana	38.7186	35.6357
Richeria dressleri	58.8077	48.1513
Richeria dressleri	82.5709	70.052
Richeria dressleri	92.2218	75.9641
Richeria dressleri	122.4943	98.8962
Coussarea loftonii	28.9446	25.6074
Coussarea loftonii	56.4286	46.0876
Coussarea loftonii	42.1734	35.2614
Coussarea loftonii	48.6001	40.0274
Coussarea loftonii	72.1689	61.7315
Coussarea loftonii	19.3537	17.5987
Lacmellea zamorae	23.3569	21.3075
Lacmellea zamorae	24.524	22.135
Lacmellea zamorae	21.0773	19.0499
Lacmellea zamorae	23.8729	21.2538
Cleyera theoides	47.4621	42.0184
Cleyera theoides	35.1331	30.9245
Cleyera theoides	52.2402	45.3585
Cleyera theoides	47.646	41.0969
Cleyera theoides	64.267	56.0534
Pseudolmedia glabrata	57.2131	51.7008
Pseudolmedia glabrata	56.645	51.6609
Pseudolmedia glabrata	42.8169	38.9545
Pseudolmedia glabrata	42.0616	38.2549
Pseudolmedia glabrata	37.9371	34.4952
Clusia palmana	82.2198	71.242
Clusia palmana	95.789	95.3488
Guarea sp1	113.5023	103.8657
Guarea sp1	116.7431	107.0708
Guarea sp1	81.1234	74.7727
Guarea sp1	45.635	42.0461
Henriettea tuberculosa	39.3625	28.363
Henriettea tuberculosa	49.9481	38.2627
Henriettea tuberculosa	46.3559	35.9967
Henriettea tuberculosa	46.1646	35.6232
Henriettea tuberculosa	32.0705	24.4565
Cymbopetalum costaricense	63.8771	59.2894
Cymbopetalum costaricense	72.5414	67.6883
Cymbopetalum costaricense	61.6844	57.2856
Cymbopetalum costaricense	91.3799	83.3755
Cymbopetalum costaricense	85.2864	78.8638
Meliosma grandiflora	80.1125	72.3087
Meliosma grandiflora	95.7003	85.1941
Meliosma grandiflora	108.0448	96.8469
Meliosma grandiflora	68.1958	62.4635
Meliosma grandiflora	67.5173	59.6321
Ocotea praetermissa	33.2045	30.2038
Ocotea praetermissa	27.0298	24.4178
Ocotea praetermissa	42.4287	38.5885
Ocotea praetermissa	21.0009	18.7985
Ocotea praetermissa	34.2069	31.1655
Sloanea brenesii	97.0818	85.3691
Sloanea brenesii	77.432	66.5134
Sloanea brenesii	68.0095	43.4335
Sloanea brenesii	68.2313	57.0632
Sloanea brenesii	26.3872	22.0612
Posoqueria coriacea	68.9201	60.7201
Posoqueria coriacea	40.9492	36.65
Posoqueria coriacea	83.0537	73.2736
Posoqueria coriacea	58.3969	51.8657
Posoqueria coriacea	55.7486	48.0757
Tovomita weddelliana	37.0208	27.6013
Tovomita weddelliana	45.2056	34.5843
Tovomita weddelliana	88.1396	49.0156
Tovomita weddelliana	37.7227	28.9537
Tovomita weddelliana	36.4206	26.9604
Richeria dressleri	85.361	70.601
Richeria dressleri	65.7265	54.9835
Richeria dressleri	68.8103	59.1108
Richeria dressleri	120.8086	103.0465
Richeria dressleri	84.9586	70.8786
Inga latipes	143.2935	132.365
Inga latipes	86.2959	79.2069
Inga latipes	63.2794	58.4049
Inga latipes	144.4891	132.5893
Inga latipes	38.1204	34.845
Chrysophyllum sp3	57.2028	53.1913
Chrysophyllum sp3	56.4298	51.8598
Chrysophyllum sp3	48.2724	44.8636
Chrysophyllum sp3	38.3	35.4521
Chrysophyllum sp3	60.7708	55.8997
Coussarea caroliana	38.7555	30.3984
Coussarea caroliana	27.4713	21.6696
Coussarea caroliana	49.401	38.7586
Coussarea caroliana	52.0016	40.7212
Coussarea caroliana	25.5802	19.8654
Brosimum guianense	43.2342	40.0062
Brosimum guianense	35.2292	32.1893
Brosimum guianense	33.5855	30.8354
Brosimum guianense	36.2966	33.2789
Brosimum guianense	26.6796	24.3321
Inga thibaudiana	34.4742	29.2911
Inga thibaudiana	39.8855	34.3125
Inga thibaudiana	37.6791	31.4893
Inga thibaudiana	51.018	44.4723
Inga thibaudiana	58.0442	49.5314
Coussarea caroliana	69.5591	57.1669
Coussarea caroliana	63.07	51.2583
Coussarea caroliana	32.4703	25.4721
Coussarea caroliana	64.6166	51.9143
Coussarea caroliana	82.3956	67.653
Coussarea caroliana	59.9276	48.2825
Coussarea caroliana	60.0707	50.5257
Coussarea caroliana	37.3508	31.2305
Coussarea caroliana	42.495	35.0679
Coussarea caroliana	42.7256	36.2015
Casearia arborea	6.5068	5.5018
Casearia arborea	8.3866	7.2067
Casearia arborea	7.6222	6.4874
Casearia arborea	11.2994	9.8011
Casearia arborea	7.2326	5.9421
Hieronyma oblonga	75.5957	64.4764
Hieronyma oblonga	115.0951	104.1571
Hieronyma oblonga	132.0192	116.7273
Hieronyma oblonga	85.4253	73.7703
Hieronyma oblonga	184.6745	171.55
Aegiphila sp1	24.8381	19.9019
Aegiphila sp1	94.8698	72.3267
Aegiphila sp1	106.4928	79.8388
Aegiphila sp1	41.267	31.848
Aegiphila sp1	84.0054	63.4878
Helicostylis tovarensis	35.7809	28.0734
Helicostylis tovarensis	41.17	32.5222
Helicostylis tovarensis	43.2817	35.1356
Helicostylis tovarensis	32.4477	25.4845
Dichapetalum sp1	28.9946	24.8997
Dichapetalum sp2	48.9616	44.7707
Dichapetalum sp3	40.1815	35.8354
Dichapetalum sp4	33.0723	29.2971
Dichapetalum sp5	37.5416	33.7493
Garcinia intermedia	75.5069	72.1216
Garcinia intermedia	122.8132	112.4916
Garcinia intermedia	127.0318	120.1291
Garcinia intermedia	125.9592	119.711
Garcinia intermedia	103.4877	95.8848
Ardisia dunlapiana	56.0089	50.1746
Ardisia dunlapiana	69.0412	61.2713
Ardisia dunlapiana	64.299	57.0997
Ardisia dunlapiana	66.6738	60.0263
Ardisia dunlapiana	37.5418	32.505
Quiina macrophylla	28.0584	23.725
Quiina macrophylla	35.6521	30.1796
Quiina macrophylla	39.2656	33.3403
Quiina macrophylla	74.6963	64.9263
Quiina macrophylla	25.9113	21.9524
Erythroxylum citrifolium	38.1985	31.992
Erythroxylum citrifolium	37.4249	32.557
Erythroxylum citrifolium	23.7781	18.9825
Erythroxylum citrifolium	41.3684	35.3553
Erythroxylum citrifolium	27.165	24.9069
Quiina macrophylla	30.5125	28.1206
Quiina macrophylla	70.8103	66.0275
Quiina macrophylla	54.0719	49.4285
Quiina macrophylla	53.6645	48.9945
Quiina macrophylla	73.1956	67.7965
Pouteria chiricana	114.8639	101.4569
Pouteria chiricana	61.3699	55.7442
Pouteria chiricana	30.2721	27.7569
Pouteria chiricana	92.5891	82.0271
Pouteria chiricana	79.6903	71.9204
Licaria sp1	64.9819	57.2703
Licaria sp1	58.76	51.7663
Licaria sp1	78.5354	70.111
Licaria sp1	46.5016	40.7639
Balsamorhiza sagittata	108.46	83.0672
